Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length,gene_id,Category,Sub-category
Q9LJ74,FB161_ARATH,reviewed,F-box protein ETP2 (EIN2 targeting protein 2),ETP2 At3g18910 K13E13.1,Arabidopsis thaliana (Mouse-ear cress),388,AT3G18910.1,Multifunction,F-box
Q9LT76,FBK63_ARATH,reviewed,Putative F-box/kelch-repeat protein At3g19410,At3g19410 MLD14.14,Arabidopsis thaliana (Mouse-ear cress),373,AT3G19410.1,Multifunction,F-box
A0A178VBL1,A0A178VBL1_ARATH,unreviewed,F-box domain-containing protein,AXX17_At3g20610 C24_LOCUS13191,Arabidopsis thaliana (Mouse-ear cress),373,AT3G19410.1,Multifunction,F-box
F4IIT6,F4IIT6_ARATH,unreviewed,AGAMOUS-like 46,AGL46 AGAMOUS-like 46 At2g28700 T11P11.1 T11P11_1,Arabidopsis thaliana (Mouse-ear cress),329,AT2G28700.1,Uncategorized,
A0A178VYD3,A0A178VYD3_ARATH,unreviewed,AGL46,AXX17_At2g24810,Arabidopsis thaliana (Mouse-ear cress),329,AT2G28700.1,Uncategorized,
Q3E8Z9,Q3E8Z9_ARATH,unreviewed,At5g27810 (MADS-box transcription factor family protein),At5g27810 T1G16.140 T1G16_140,Arabidopsis thaliana (Mouse-ear cress),119,AT5G27810.1,Regulation of Gene Expression,transcription
Q9FJK3,AGL80_ARATH,reviewed,Agamous-like MADS-box protein AGL80,AGL80 FEM111 At5g48670 K15N18.16,Arabidopsis thaliana (Mouse-ear cress),321,AT5G48670.1,Genetic Information Processing,MADS-box
F4IAV6,F4IAV6_ARATH,unreviewed,F-box associated ubiquitination effector family protein,At1g25141 F5A9.4,Arabidopsis thaliana (Mouse-ear cress),234,AT1G25141.1,Stress Response,effector
D7KAK2,D7KAK2_ARALL,unreviewed,UDP-3-O-acyl-N-acetylglucosamine deacetylase (EC 3.5.1.108),ARALYDRAFT_472870,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),1045,AT1G25141.1,Uncategorized,
Q9LSV6,FB186_ARATH,reviewed,Putative F-box protein At3g25460,At3g25460 MWL2.7,Arabidopsis thaliana (Mouse-ear cress),361,AT3G25460.1,Multifunction,F-box
Q9LVS9,FB340_ARATH,reviewed,Probable F-box protein At5g47300,At5g47300 MQL5.16,Arabidopsis thaliana (Mouse-ear cress),416,AT5G47300.1,Multifunction,F-box
Q3E944,FDL33_ARATH,reviewed,Putative F-box/FBD/LRR-repeat protein At5g25850,At5g25850 F18A17.100,Arabidopsis thaliana (Mouse-ear cress),481,AT5G25850.1,Protein Processing and Degradation,FBD
Q9FJC1,FBD31_ARATH,reviewed,Putative FBD-associated F-box protein At5g53635,At5g53635 MNC6.17,Arabidopsis thaliana (Mouse-ear cress),426,AT5G53635.1,Protein Processing and Degradation,FBD
A0A178UNV6,A0A178UNV6_ARATH,unreviewed,F-box domain-containing protein,AXX17_At5g52600 C24_LOCUS25455,Arabidopsis thaliana (Mouse-ear cress),426,AT5G53635.1,Multifunction,F-box
Q9FJC0,FBD20_ARATH,reviewed,Putative FBD-associated F-box protein At5g53640,At5g53640 MNC6.18,Arabidopsis thaliana (Mouse-ear cress),460,AT5G53640.1,Protein Processing and Degradation,FBD
A0A1P8ANJ8,A0A1P8ANJ8_ARATH,unreviewed,GRF zinc finger protein,At1g52603,Arabidopsis thaliana (Mouse-ear cress),121,AT1G52603.1,Genetic Information Processing,zinc finger
A0A1P8AVM6,A0A1P8AVM6_ARATH,unreviewed,Transmembrane protein,At1g67235,Arabidopsis thaliana (Mouse-ear cress),154,AT1G67235.1,Uncategorized,
F4KH99,F4KH99_ARATH,unreviewed,Zinc finger GRF-type domain-containing protein,At5g33393,Arabidopsis thaliana (Mouse-ear cress),435,AT5G33393.1,Genetic Information Processing,zinc finger
A0A1P8AW32,A0A1P8AW32_ARATH,unreviewed,TRAF-like superfamily protein,At1g65050 F16G16.5 F16G16_5,Arabidopsis thaliana (Mouse-ear cress),162,AT1G65050.1,P-P Interaction,TRAF
Q9S9J5,Q9S9J5_ARATH,unreviewed,T23K8.6 (TRAF-like family protein),At1g65150 T23K8.6 T23K8_6,Arabidopsis thaliana (Mouse-ear cress),296,AT1G65150.2,P-P Interaction,TRAF
A0A178WJD9,A0A178WJD9_ARATH,unreviewed,MATH domain-containing protein,At1g65150 AXX17_At1g58750,Arabidopsis thaliana (Mouse-ear cress),296,AT1G65150.2,P-P Interaction,MATH domain
D7KQX0,D7KQX0_ARALL,unreviewed,MATH domain-containing protein,ARALYDRAFT_475528,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),297,AT1G65150.2,P-P Interaction,MATH domain
Q940M1,Q940M1_ARATH,unreviewed,At1g65370/T8F5_15 (TRAF-like family protein),At1g65370 T8F5.15 T8F5_15,Arabidopsis thaliana (Mouse-ear cress),227,AT1G65370.1,P-P Interaction,TRAF
Q84JJ8,Q84JJ8_ARATH,unreviewed,MATH domain-containing protein,At1g65370,Arabidopsis thaliana (Mouse-ear cress),164,AT1G65370.1,P-P Interaction,MATH domain
Q1G3K0,Q1G3K0_ARATH,unreviewed,F-box/LRR protein,At4g03635,Arabidopsis thaliana (Mouse-ear cress),88,AT4G03635.1,Protein Processing and Degradation,LRR
Q9M0U9,SKI19_ARATH,reviewed,F-box protein SKIP19 (F-box/LRR-repeat protein 20) (SKP1-interacting partner 19),SKIP19 FBL20 At4g05460 C6L9.140,Arabidopsis thaliana (Mouse-ear cress),302,AT4G05460.1,Protein Processing and Degradation,LRR
A0A2H1ZEM3,A0A2H1ZEM3_ARATH,unreviewed,RNI-like superfamily protein,At4g05470,Arabidopsis thaliana (Mouse-ear cress),306,AT4G05470.1,Signaling & Transport,RNI
Q9M0U7,FB221_ARATH,reviewed,Putative F-box protein At4g05475,At4g05475 C6L9,Arabidopsis thaliana (Mouse-ear cress),309,AT4G05475.1,Multifunction,F-box
Q9LQL4,FBK19_ARATH,reviewed,Putative F-box/kelch-repeat protein At1g32430,At1g32430 F5D14.21,Arabidopsis thaliana (Mouse-ear cress),393,AT1G32430.1,Multifunction,F-box
Q9FX09,FB40_ARATH,reviewed,Putative F-box protein At1g47390,At1g47390 T3F24.1,Arabidopsis thaliana (Mouse-ear cress),370,AT1G47390.1,Multifunction,F-box
O80980,FB319_ARATH,reviewed,F-box protein At2g14710,At2g14710 T6B13.1,Arabidopsis thaliana (Mouse-ear cress),362,AT2G14710.1,Multifunction,F-box
Q9LUS6,FBK55_ARATH,reviewed,F-box/kelch-repeat protein At3g16580,At3g16580 MGL6.4,Arabidopsis thaliana (Mouse-ear cress),382,AT3G16580.1,Multifunction,F-box
A0A654F7T9,A0A654F7T9_ARATH,unreviewed,F-box domain-containing protein,AN1_LOCUS13046,Arabidopsis thaliana (Mouse-ear cress),382,AT3G16580.1,Multifunction,F-box
D7L647,D7L647_ARALL,unreviewed,F-box family protein,ARALYDRAFT_479123,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),372,AT3G16580.1,Multifunction,F-box
A0A5S9X4W5,A0A5S9X4W5_ARATH,unreviewed,Phorbol-ester/DAG-type domain-containing protein,At2g37800 C24_LOCUS10086,Arabidopsis thaliana (Mouse-ear cress),262,AT2G37800.1,Signaling & Transport,phorbol-ester
F4IRV7,F4IRV7_ARATH,unreviewed,Cysteine/histidine-rich C1 domain protein,At2g37800 T8P21.29 T8P21_29,Arabidopsis thaliana (Mouse-ear cress),262,AT2G37800.1,Multifunction,Cysteine/Histidine-rich C1 domain
A0A5S9X5F3,A0A5S9X5F3_ARATH,unreviewed,DC1 domain-containing protein,C24_LOCUS10087,Arabidopsis thaliana (Mouse-ear cress),252,AT2G37805.1,Uncategorized,
A0A1P8AY95,A0A1P8AY95_ARATH,unreviewed,Cysteine/histidine-rich C1 domain protein,At2g37805,Arabidopsis thaliana (Mouse-ear cress),252,AT2G37805.1,Multifunction,Cysteine/Histidine-rich C1 domain
Q4PSR5,Q4PSR5_ARATH,unreviewed,Cysteine/Histidine-rich C1 domain family protein (Putative CHP-rich zinc finger protein),At2g37810 T8P21.28 T8P21_28,Arabidopsis thaliana (Mouse-ear cress),233,AT2G37810.1,Genetic Information Processing,zinc finger
A0A654F175,A0A654F175_ARATH,unreviewed,(thale cress) hypothetical protein,At2g37820 AN1_LOCUS10243 AT9943_LOCUS8789 C24_LOCUS10089,Arabidopsis thaliana (Mouse-ear cress),290,AT2G37820.1,Uncharacterized,hypothetical protein
Q6NM27,Q6NM27_ARATH,unreviewed,At2g37820 (Cysteine/Histidine-rich C1 domain family protein) (PHD domain protein),At2g37820 T8P21.27 T8P21_27,Arabidopsis thaliana (Mouse-ear cress),290,AT2G37820.1,Multifunction,Cysteine/Histidine-rich C1 domain
Q9LT21,FB165_ARATH,reviewed,F-box protein At3g19880,At3g19880 MPN9.12,Arabidopsis thaliana (Mouse-ear cress),389,AT3G19880.1,Multifunction,F-box
Q9LJZ8,FB167_ARATH,reviewed,Putative F-box protein At3g20030,At3g20030 MAL21.3,Arabidopsis thaliana (Mouse-ear cress),402,AT3G20030.1,Multifunction,F-box
A0A178VCH7,A0A178VCH7_ARATH,unreviewed,F-box domain-containing protein,AXX17_At3g21370,Arabidopsis thaliana (Mouse-ear cress),402,AT3G20030.1,Multifunction,F-box
Q9S9T0,FBK80_ARATH,reviewed,F-box/kelch-repeat protein At4g05080,At4g05080 T32N4.2,Arabidopsis thaliana (Mouse-ear cress),391,AT4G05080.1,Multifunction,F-box
A0A5S9XPR5,A0A5S9XPR5_ARATH,unreviewed,F-box domain-containing protein,C24_LOCUS17095,Arabidopsis thaliana (Mouse-ear cress),391,AT4G05080.1,Multifunction,F-box
Q9FKJ1,FB296_ARATH,reviewed,Putative F-box protein At5g60560,At5g60560 MUF9.19,Arabidopsis thaliana (Mouse-ear cress),407,AT5G60560.2,Multifunction,F-box
A0A654GCS3,A0A654GCS3_ARATH,unreviewed,F-box domain-containing protein,AN1_LOCUS26360,Arabidopsis thaliana (Mouse-ear cress),407,AT5G60560.2,Multifunction,F-box
F4I4K9,F4I4K9_ARATH,unreviewed,F-box associated ubiquitination effector family protein,At1g23037,Arabidopsis thaliana (Mouse-ear cress),162,AT1G23037.1,Stress Response,effector
O23160,MYB73_ARATH,reviewed,Transcription factor MYB73 (Myb-related protein 73) (AtMYB73),MYB73 At4g37260 AP22.97 C7A10.100,Arabidopsis thaliana (Mouse-ear cress),320,AT3G52320.1,Regulation of Gene Expression,transcription
Q9FT50,FB202_ARATH,reviewed,Putative F-box protein At3g52320,At3g52320 T25B15.90,Arabidopsis thaliana (Mouse-ear cress),390,AT3G52320.1,Multifunction,F-box
Q9FT49,Q9FT49_ARATH,unreviewed,F-box associated ubiquitination effector family protein,T25B15_100 At3g52330,Arabidopsis thaliana (Mouse-ear cress),307,AT3G52330.1,Stress Response,effector
F4J6Y4,F4J6Y4_ARATH,unreviewed,F-box associated ubiquitination effector family protein,At3g52510,Arabidopsis thaliana (Mouse-ear cress),216,AT3G52510.1,Stress Response,effector
A0A1I9LNE3,A0A1I9LNE3_ARATH,unreviewed,F-box associated ubiquitination effector family protein,At3g52510,Arabidopsis thaliana (Mouse-ear cress),214,AT3G52510.1,Stress Response,effector
A0A7G2DRN9,A0A7G2DRN9_ARATH,unreviewed,RING-type E3 ubiquitin transferase (EC 2.3.2.27),At1g18760 AT9943_LOCUS1624,Arabidopsis thaliana (Mouse-ear cress),224,AT1G18760.1,Protein Processing and Degradation,ubiquitin
Q9M9U7,Q9M9U7_ARATH,unreviewed,RING-type E3 ubiquitin transferase (EC 2.3.2.27),At1g18760 F6A14.13 F6A14_13,Arabidopsis thaliana (Mouse-ear cress),224,AT1G18760.1,Protein Processing and Degradation,ubiquitin
A0A654ELT9,A0A654ELT9_ARATH,unreviewed,RING-type E3 ubiquitin transferase (EC 2.3.2.27),At1g18770 AN1_LOCUS2011 C24_LOCUS1927,Arabidopsis thaliana (Mouse-ear cress),106,AT1G18770.1,Protein Processing and Degradation,ubiquitin
Q3ED97,Q3ED97_ARATH,unreviewed,RING-type E3 ubiquitin transferase (EC 2.3.2.27),At1g18770 F6A14.24 F6A14_24,Arabidopsis thaliana (Mouse-ear cress),106,AT1G18770.1,Protein Processing and Degradation,ubiquitin
D7KH67,D7KH67_ARALL,unreviewed,RING-type E3 ubiquitin transferase (EC 2.3.2.27),ARALYDRAFT_472102,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),108,AT1G18770.1,Protein Processing and Degradation,ubiquitin
D7KKY0,D7KKY0_ARALL,unreviewed,RING-type E3 ubiquitin transferase (EC 2.3.2.27),ARALYDRAFT_472431,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),160,AT1G21960.1,Protein Processing and Degradation,ubiquitin
Q9SFD9,Q9SFD9_ARATH,unreviewed,RING/U-box superfamily protein (T26F17.19),At1g21960 T26F17.19 T26F17_19,Arabidopsis thaliana (Mouse-ear cress),204,AT1G21960.1,Uncategorized,
F4ILN3,F4ILN3_ARATH,unreviewed,RING-type E3 ubiquitin transferase (EC 2.3.2.27),At2g29840 T27A16.6 T27A16_6,Arabidopsis thaliana (Mouse-ear cress),293,AT2G29840.1,Protein Processing and Degradation,ubiquitin
Q96285,LRK55_ARATH,reviewed,L-type lectin-domain containing receptor kinase V.5 (Arabidopsis thaliana lectin-receptor kinase a1) (Ath.lecRK1) (AthlecRK-a1) (LecRK-V.5) (EC 2.7.11.1),LECRK55 LECRKA1 At3g59700 T16L24.250,Arabidopsis thaliana (Mouse-ear cress),661,AT3G59700.1,Signaling & Transport,kinase
Q9LEA3,LRK56_ARATH,reviewed,Putative L-type lectin-domain containing receptor kinase V.6 (Arabidopsis thaliana lectin-receptor kinase a2) (AthlecRK-a2) (LecRK-V.6) (EC 2.7.11.1),LECRK56 LECRKA2 At3g59730 T16L24.280,Arabidopsis thaliana (Mouse-ear cress),523,AT3G59730.1,Signaling & Transport,kinase
A0A1I9LPX0,A0A1I9LPX0_ARATH,unreviewed,Concanavalin A-like lectin protein kinase family protein,LECRK-V6 LecRK-V.6 At3g59730,Arabidopsis thaliana (Mouse-ear cress),445,AT3G59730.1,Signaling & Transport,kinase
Q9ZR79,LRK57_ARATH,reviewed,L-type lectin-domain containing receptor kinase V.7 (Arabidopsis thaliana lectin-receptor kinase a3) (AthlecRK-a3) (LecRK-V.7) (EC 2.7.11.1),LECRK57 LECRKA3 At3g59740 F24G16.10 T16L24.290,Arabidopsis thaliana (Mouse-ear cress),659,AT3G59740.1,Signaling & Transport,kinase
Q9M1Z9,LRK58_ARATH,reviewed,Putative L-type lectin-domain containing receptor kinase V.8 (LecRK-V.8) (EC 2.7.11.1),LECRK58 At3g59750 F24G16.20,Arabidopsis thaliana (Mouse-ear cress),626,AT3G59750.1,Signaling & Transport,kinase
Q9LPH0,FB57_ARATH,reviewed,Putative F-box protein At1g53550,At1g53550 T3F20.14,Arabidopsis thaliana (Mouse-ear cress),408,AT1G53550.1,Multifunction,F-box
A0A178WND8,A0A178WND8_ARATH,unreviewed,F-box domain-containing protein,AXX17_At1g47910 AN1_LOCUS4477,Arabidopsis thaliana (Mouse-ear cress),408,AT1G53550.1,Multifunction,F-box
Q3ECQ9,FB349_ARATH,reviewed,Probable F-box protein At1g53815,At1g53815 T18A20,Arabidopsis thaliana (Mouse-ear cress),237,AT1G53815.1,Multifunction,F-box
Q9C725,FB61_ARATH,reviewed,Putative F-box protein At1g55070,At1g55070 T7N22.2,Arabidopsis thaliana (Mouse-ear cress),393,AT1G55070.1,Multifunction,F-box
A0A654EK99,A0A654EK99_ARATH,unreviewed,F-box domain-containing protein,AN1_LOCUS4629,Arabidopsis thaliana (Mouse-ear cress),393,AT1G55070.1,Multifunction,F-box
Q9C948,FB70_ARATH,reviewed,Putative F-box protein At1g61060,At1g61060 T7P1.19,Arabidopsis thaliana (Mouse-ear cress),267,AT1G61060.1,Multifunction,F-box
O80752,O80752_ARATH,unreviewed,Apical meristem formation protein-related (NAC (No Apical Meristem) domain transcriptional regulator superfamily protein) (T13D8.18 protein),At1g60300 T13D8.18 T13D8_18,Arabidopsis thaliana (Mouse-ear cress),322,AT1G60300.1,Growth & Reproduction,meristem
A0A654EJM0,A0A654EJM0_ARATH,unreviewed,NAC domain-containing protein,At1g60300 AN1_LOCUS5004,Arabidopsis thaliana (Mouse-ear cress),322,AT1G60300.1,Multifunction,NAC domain
A0A178WM12,A0A178WM12_ARATH,unreviewed,COX19-1,At1g66590 AXX17_At1g60340,Arabidopsis thaliana (Mouse-ear cress),113,AT1G60340.1,Uncategorized,
A0A654EJL7,A0A654EJL7_ARATH,unreviewed,NAC domain-containing protein,At1g60340 AN1_LOCUS5006,Arabidopsis thaliana (Mouse-ear cress),371,AT1G60340.1,Multifunction,NAC domain
O80755,O80755_ARATH,unreviewed,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein (T13D8.21 protein),At1g60340 T13D8.21 T13D8_21,Arabidopsis thaliana (Mouse-ear cress),371,AT1G60340.1,Growth & Reproduction,meristem
O80756,O80756_ARATH,unreviewed,NAC domain containing protein 24 (T13D8.22 protein),NAC024 anac024 At1g60350 T13D8.22 T13D8_22,Arabidopsis thaliana (Mouse-ear cress),320,AT1G60350.1,Multifunction,NAC domain
A0A654ELC3,A0A654ELC3_ARATH,unreviewed,NAC domain-containing protein,At1g60350 AN1_LOCUS5007,Arabidopsis thaliana (Mouse-ear cress),320,AT1G60350.1,Multifunction,NAC domain
D7KXA4,D7KXA4_ARALL,unreviewed,ANAC024,ARALYDRAFT_475292,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),318,AT1G60350.1,Uncategorized,
A0A654EJQ2,A0A654EJQ2_ARATH,unreviewed,NAC domain-containing protein,At1g60380 AN1_LOCUS5010,Arabidopsis thaliana (Mouse-ear cress),318,AT1G60380.1,Multifunction,NAC domain
O80759,O80759_ARATH,unreviewed,Apical meristem formation protein-related (NAC (No Apical Meristem) domain transcriptional regulator superfamily protein) (T13D8.25 protein),At1g60380 T13D8.25 T13D8_25,Arabidopsis thaliana (Mouse-ear cress),318,AT1G60380.1,Growth & Reproduction,meristem
Q9FX02,FB38_ARATH,reviewed,Putative F-box protein At1g47300,At1g47300 T3F24.8,Arabidopsis thaliana (Mouse-ear cress),306,AT1G47300.1,Multifunction,F-box
Q0V7S0,FB39_ARATH,reviewed,F-box protein At1g47340,At1g47340 T3F24.5,Arabidopsis thaliana (Mouse-ear cress),459,AT1G47340.1,Multifunction,F-box
A0A1P8AWB5,A0A1P8AWB5_ARATH,unreviewed,F-box and associated interaction domains-containing protein,At1g47340 T3F24.5 T3F24_5,Arabidopsis thaliana (Mouse-ear cress),428,AT1G47340.1,Multifunction,F-box
D7KAR9,D7KAR9_ARALL,unreviewed,F-box domain-containing protein,ARALYDRAFT_473884,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),480,AT1G47340.1,Multifunction,F-box
F4HT76,F4HT76_ARATH,unreviewed,F-box associated ubiquitination effector family protein,At1g47350 T3F24.4 T3F24_4,Arabidopsis thaliana (Mouse-ear cress),528,AT1G47350.1,Stress Response,effector
O80758,FB68_ARATH,reviewed,Putative F-box protein At1g60370,At1g60370 T13D8.24,Arabidopsis thaliana (Mouse-ear cress),283,AT1G60370.1,Multifunction,F-box
A0A654EPS7,A0A654EPS7_ARATH,unreviewed,F-box domain-containing protein,AN1_LOCUS5009,Arabidopsis thaliana (Mouse-ear cress),283,AT1G60370.1,Multifunction,F-box
Q1KS79,FB116_ARATH,reviewed,F-box protein At2g23160,At2g23160 T20D16.21,Arabidopsis thaliana (Mouse-ear cress),307,AT2G23160.1,Multifunction,F-box
A0A7G2EAH4,A0A7G2EAH4_ARATH,unreviewed,(thale cress) hypothetical protein,AT9943_LOCUS7459,Arabidopsis thaliana (Mouse-ear cress),307,AT2G23160.1,Uncharacterized,hypothetical protein
Q9C5S9,CRK6_ARATH,reviewed,Cysteine-rich receptor-like protein kinase 6 (Cysteine-rich RLK6) (EC 2.7.11.-) (Receptor-like protein kinase 5),CRK6 RLK5 At4g23140 F21P8.30 F7H19.330,Arabidopsis thaliana (Mouse-ear cress),674,AT4G23140.2,Signaling & Transport,kinase
Q8L7G3,CRK7_ARATH,reviewed,Cysteine-rich receptor-like protein kinase 7 (Cysteine-rich RLK7) (EC 2.7.11.-),CRK7 At4g23150 F21P8.40,Arabidopsis thaliana (Mouse-ear cress),659,AT4G23150.1,Signaling & Transport,kinase
D7MDW3,D7MDW3_ARALL,unreviewed,Kinase family protein,ARALYDRAFT_492547,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),552,AT4G23150.1,Signaling & Transport,kinase
A0A1P8B5G3,A0A1P8B5G3_ARATH,unreviewed,Cysteine-rich RECEPTOR-like kinase,CRK8 At4g23160 F21P8.50 F21P8_50,Arabidopsis thaliana (Mouse-ear cress),1043,AT4G23160.2,Signaling & Transport,kinase
Q8GYA4,CRK10_ARATH,reviewed,Cysteine-rich receptor-like protein kinase 10 (Cysteine-rich RLK10) (EC 2.7.11.-) (Receptor-like protein kinase 4),CRK10 RLK4 At4g23180 F21P8.70,Arabidopsis thaliana (Mouse-ear cress),669,AT4G23180.1,Signaling & Transport,kinase
A0A1P8B597,A0A1P8B597_ARATH,unreviewed,Cysteine-rich RLK (RECEPTOR-like protein kinase) 10,CRK10 RLK4 At4g23180 F21P8.70 F21P8_70,Arabidopsis thaliana (Mouse-ear cress),583,AT4G23180.1,Signaling & Transport,kinase
A0A1P8B575,A0A1P8B575_ARATH,unreviewed,Cysteine-rich RLK (RECEPTOR-like protein kinase) 10,CRK10 RLK4 At4g23180 F21P8.70 F21P8_70,Arabidopsis thaliana (Mouse-ear cress),513,AT4G23180.1,Signaling & Transport,kinase
D7MDW0,D7MDW0_ARALL,unreviewed,Kinase family protein,ARALYDRAFT_492546,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),662,AT4G23180.1,Signaling & Transport,kinase
Q8W4G6,CRK15_ARATH,reviewed,Cysteine-rich receptor-like protein kinase 15 (Cysteine-rich RLK15) (EC 2.7.11.-),CRK15 At4g23230 F21P8.120,Arabidopsis thaliana (Mouse-ear cress),627,AT4G23230.1,Signaling & Transport,kinase
Q9LZU4,CRK4_ARATH,reviewed,Cysteine-rich receptor-like protein kinase 4 (Cysteine-rich RLK4) (EC 2.7.11.-),CRK4 At3g45860 F16L2_70,Arabidopsis thaliana (Mouse-ear cress),676,AT3G45860.1,Signaling & Transport,kinase
A0A654FF15,A0A654FF15_ARATH,unreviewed,Uncharacterized protein,AN1_LOCUS14914,Arabidopsis thaliana (Mouse-ear cress),676,AT3G45860.1,Uncharacterized,uncharacterized
D7LMS8,D7LMS8_ARALL,unreviewed,Kinase family protein,ARALYDRAFT_484965,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),678,AT3G45860.1,Signaling & Transport,kinase
Q9C5S8,CRK5_ARATH,reviewed,Cysteine-rich receptor-like protein kinase 5 (Cysteine-rich RLK5) (EC 2.7.11.-) (Receptor-like protein kinase 6),CRK5 RLK6 At4g23130 F21P8.20 F7H19.320,Arabidopsis thaliana (Mouse-ear cress),659,AT4G23130.2,Signaling & Transport,kinase
A0A5S9XVH5,A0A5S9XVH5_ARATH,unreviewed,Uncharacterized protein,At4g23130 C24_LOCUS18944,Arabidopsis thaliana (Mouse-ear cress),663,AT4G23130.2,Uncharacterized,uncharacterized
A0A1P8B944,A0A1P8B944_ARATH,unreviewed,Cysteine-rich RLK (RECEPTOR-like protein kinase) 5,CRK5 RECEPTOR-LIKE PROTEIN KINASE 6 RLK6 At4g23130 F7H19.320 F7H19_320,Arabidopsis thaliana (Mouse-ear cress),573,AT4G23130.2,Signaling & Transport,kinase
D7MDW5,D7MDW5_ARALL,unreviewed,Cysteine-rich rlk5,CRK5 ARALYDRAFT_492548,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),664,AT4G23130.2,Uncategorized,
A0A1P8B7Y9,A0A1P8B7Y9_ARATH,unreviewed,Cysteine-rich RLK (RECEPTOR-like protein kinase) 19,CRK19 At4g23270 F21P8.160 F21P8_160,Arabidopsis thaliana (Mouse-ear cress),647,AT4G23270.3,Signaling & Transport,kinase
O65479,CRK20_ARATH,reviewed,Putative cysteine-rich receptor-like protein kinase 20 (Cysteine-rich RLK20) (EC 2.7.11.-),CRK20 At4g23280 F21P8.170,Arabidopsis thaliana (Mouse-ear cress),666,AT4G23280.1,Signaling & Transport,kinase
A0A1P8B3T1,A0A1P8B3T1_ARATH,unreviewed,Cysteine-rich RLK (RECEPTOR-like protein kinase) 20,CRK20 At4g23280 F21P8.170 F21P8_170,Arabidopsis thaliana (Mouse-ear cress),616,AT4G23280.1,Signaling & Transport,kinase
A0A1P8B3T4,A0A1P8B3T4_ARATH,unreviewed,Cysteine-rich RLK (RECEPTOR-like protein kinase) 20,CRK20 At4g23280 F21P8.170 F21P8_170,Arabidopsis thaliana (Mouse-ear cress),664,AT4G23280.1,Signaling & Transport,kinase
A0A5S9XVX9,A0A5S9XVX9_ARATH,unreviewed,Cysteine-rich,C24_LOCUS18959,Arabidopsis thaliana (Mouse-ear cress),616,AT4G23280.1,Uncategorized,
O65482,CRK23_ARATH,reviewed,Putative cysteine-rich receptor-like protein kinase 23 (Cysteine-rich RLK23) (EC 2.7.11.-),CRK23 At4g23310 F16G20.10 F21P8.200,Arabidopsis thaliana (Mouse-ear cress),830,AT4G23310.1,Signaling & Transport,kinase
A0A1P8B6F3,A0A1P8B6F3_ARATH,unreviewed,Cysteine-rich RLK (RECEPTOR-like protein kinase) 23,CRK23 At4g23310 F21P8.200 F21P8_200,Arabidopsis thaliana (Mouse-ear cress),790,AT4G23310.1,Signaling & Transport,kinase
Q9XIP5,Y2741_ARATH,reviewed,Putative B3 domain-containing protein At2g27410,At2g27410 F10A12 F12K2.1,Arabidopsis thaliana (Mouse-ear cress),257,AT2G27410.1,Growth & Reproduction,B3 domain
A0A654EWN8,A0A654EWN8_ARATH,unreviewed,TF-B3 domain-containing protein,AN1_LOCUS9142,Arabidopsis thaliana (Mouse-ear cress),257,AT2G27410.1,Growth & Reproduction,B3 domain
Q9SIC7,Y2142_ARATH,reviewed,B3 domain-containing protein At2g31420,At2g31420 T28P16.9,Arabidopsis thaliana (Mouse-ear cress),209,AT2G31420.1,Growth & Reproduction,B3 domain
A0A178VRH1,A0A178VRH1_ARATH,unreviewed,TF-B3 domain-containing protein,AXX17_At2g27650 AN1_LOCUS9560 C24_LOCUS9408,Arabidopsis thaliana (Mouse-ear cress),209,AT2G31420.1,Growth & Reproduction,B3 domain
Q9SIC3,Y2146_ARATH,reviewed,Putative B3 domain-containing protein At2g31460,At2g31460 T28P16.5,Arabidopsis thaliana (Mouse-ear cress),244,AT2G31460.1,Growth & Reproduction,B3 domain
A0A178VZI5,A0A178VZI5_ARATH,unreviewed,(thale cress) hypothetical protein,AXX17_At2g27710 AN1_LOCUS9566 AT9943_LOCUS8197 C24_LOCUS9414,Arabidopsis thaliana (Mouse-ear cress),244,AT2G31460.1,Uncharacterized,hypothetical protein
Q1G3B8,Y2272_ARATH,reviewed,B3 domain-containing protein At2g32645,At2g32645 F24L7,Arabidopsis thaliana (Mouse-ear cress),189,AT2G32645.1,Growth & Reproduction,B3 domain
Q3EBP7,Q3EBP7_ARATH,unreviewed,"B3 domain protein, putative (DUF313)",At2g32905,Arabidopsis thaliana (Mouse-ear cress),213,AT2G32905.1,Growth & Reproduction,B3 domain
